company,month,product_family,product_line,warehouse,on_hand_qty,inventory_value_idr,avg_map_cost,item_count,negative_inventory_lines,zero_inventory_lines,negative_value_lines,is_high_value_inventory,is_slow_moving_indicator
Matapel Chemicals Sample,2023-03-01,Solvents,Solvents,Surabaya WH,9562.380000000001,717062759.119,74817.54000000001,2,0,0,0,True,False
Matapel Chemicals Sample,2023-04-01,Specialty Chemicals,Additives,Bandung WH,7510.08,520206043.51680005,69267.71,1,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Specialty Chemicals,Additives,Jakarta WH,2767.42,226536490.30539998,81858.37,1,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Specialty Chemicals,Additives,Surabaya WH,2725.7,112298435.1969,42372.005,2,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Binders,Industrial Resins,Bandung WH,10716.25,760616952.8354,70768.58499999999,2,0,0,0,True,False
Matapel Chemicals Sample,2023-04-01,Binders,Industrial Resins,Jakarta WH,4668.79,133776007.0675,28653.25,1,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Binders,Industrial Resins,Surabaya WH,5904.9,326524849.62299997,55297.27,1,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Colorants,Inorganic Pigments,Jakarta WH,16460.97,964530489.7574999,64871.72666666666,3,0,0,0,True,False
Matapel Chemicals Sample,2023-04-01,Colorants,Inorganic Pigments,Surabaya WH,2195.06,165775540.826,75522.1,1,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Colorants,Organic Pigments,Jakarta WH,6016.04,337906650.7926,66055.33499999999,2,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Colorants,Organic Pigments,Surabaya WH,4974.52,416399118.1732001,79267.13,2,1,0,1,False,False
Matapel Chemicals Sample,2023-04-01,Solvents,Solvents,Bandung WH,5926.66,461720069.1663999,67078.01999999999,2,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Solvents,Solvents,Jakarta WH,280.43,10068561.524300002,35904.01,1,0,0,0,False,False
Matapel Chemicals Sample,2023-04-01,Solvents,Solvents,Surabaya WH,5978.4,401708006.23199993,67193.23,1,0,0,0,False,False
Matapel Chemicals Sample,2023-05-01,Specialty Chemicals,Additives,Bandung WH,9111.11,637372236.0696,74954.32,2,0,0,0,False,False
Matapel Chemicals Sample,2023-05-01,Specialty Chemicals,Additives,Surabaya WH,3145.82,96577675.12760001,40859.6,2,0,0,0,False,False
Matapel Chemicals Sample,2023-05-01,Binders,Industrial Resins,Jakarta WH,15783.46,708077883.4878,42415.89,3,0,0,0,True,False
Matapel Chemicals Sample,2023-05-01,Binders,Industrial Resins,Surabaya WH,5620.17,511465144.4976,91005.28,1,0,0,0,False,False
Matapel Chemicals Sample,2023-05-01,Colorants,Inorganic Pigments,Bandung WH,2526.89,193807889.32909998,76698.19,1,0,0,0,False,False
Matapel Chemicals Sample,2023-05-01,Colorants,Inorganic Pigments,Surabaya WH,16640.02,1032537960.9007001,64903.86666666667,3,0,0,0,True,False
Matapel Chemicals Sample,2023-05-01,Colorants,Organic Pigments,Bandung WH,1085.87,84376532.5102,73783.32500000001,2,1,0,1,False,False
Matapel Chemicals Sample,2023-05-01,Colorants,Organic Pigments,Jakarta WH,10704.98,707421795.394,65485.66,2,0,0,0,True,False
Matapel Chemicals Sample,2023-05-01,Solvents,Solvents,Jakarta WH,11497.74,834980040.6929,61321.556666666664,3,0,0,0,True,False
Matapel Chemicals Sample,2023-05-01,Solvents,Solvents,Surabaya WH,707.07,37064072.0268,52419.24,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Specialty Chemicals,Additives,Bandung WH,4267.06,185982278.5304,50798.34,2,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Specialty Chemicals,Additives,Jakarta WH,7192.69,468244694.4152,65100.08,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Specialty Chemicals,Additives,Surabaya WH,611.45,37240949.242,60905.96,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Binders,Industrial Resins,Bandung WH,12941.18,738261508.9484999,55060.130000000005,3,0,0,0,True,False
Matapel Chemicals Sample,2023-06-01,Binders,Industrial Resins,Surabaya WH,6165.12,316785936.7296,51383.58,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Colorants,Inorganic Pigments,Bandung WH,7566.9,318909641.96889997,52369.365,2,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Colorants,Inorganic Pigments,Jakarta WH,4095.04,322081775.66719997,78651.68,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Colorants,Inorganic Pigments,Surabaya WH,6535.13,644803305.4925001,98667.25,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Colorants,Organic Pigments,Bandung WH,6131.4400000000005,310598332.5074,66623.36333333333,3,1,0,1,False,False
Matapel Chemicals Sample,2023-06-01,Colorants,Organic Pigments,Jakarta WH,7088.87,619999942.6248,87461.04,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Solvents,Solvents,Bandung WH,4931.25,350857106.0625,71149.73,1,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Solvents,Solvents,Jakarta WH,7637.96,585003440.0309999,60128.065,2,0,0,0,False,False
Matapel Chemicals Sample,2023-06-01,Solvents,Solvents,Surabaya WH,2154.5,110776784.61500001,51416.47,1,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Specialty Chemicals,Additives,Bandung WH,4291.12,107828081.1162,42284.445,2,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Specialty Chemicals,Additives,Jakarta WH,2997.1,249769922.11999997,83337.2,1,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Specialty Chemicals,Additives,Surabaya WH,7938.31,558297770.0605,70329.55,1,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Binders,Industrial Resins,Jakarta WH,19817.02,1064075896.3402,54316.582500000004,4,0,0,0,True,False
Matapel Chemicals Sample,2023-07-01,Colorants,Inorganic Pigments,Bandung WH,7263.43,688552245.3216,94797.12,1,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Colorants,Inorganic Pigments,Jakarta WH,4489.11,112918893.3756,25153.96,1,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Colorants,Inorganic Pigments,Surabaya WH,6466.22,498696465.7391001,77388.775,2,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Colorants,Organic Pigments,Jakarta WH,777.46,62242592.394,80058.9,1,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Colorants,Organic Pigments,Surabaya WH,11704.17,787449828.8076999,68828.26,3,1,0,1,True,False
Matapel Chemicals Sample,2023-07-01,Solvents,Solvents,Bandung WH,9263.1,574818926.4384,51787.52333333334,3,0,0,0,False,False
Matapel Chemicals Sample,2023-07-01,Solvents,Solvents,Surabaya WH,8139.36,691892726.8943999,85005.79,1,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Specialty Chemicals,Additives,Jakarta WH,9317.16,485736536.41719997,50121.743333333325,3,1,0,1,False,False
Matapel Chemicals Sample,2023-08-01,Specialty Chemicals,Additives,Surabaya WH,2679.28,214655447.07520002,80116.84,1,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Binders,Industrial Resins,Bandung WH,4956.59,444666345.5685,89712.15,1,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Binders,Industrial Resins,Jakarta WH,10578.24,534334991.95439994,49940.465,2,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Binders,Industrial Resins,Surabaya WH,5105.0,137774658.9,26988.18,1,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Colorants,Inorganic Pigments,Bandung WH,8230.18,421798938.7131,49656.945,2,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Colorants,Inorganic Pigments,Surabaya WH,9658.59,854490884.5294001,86911.88,2,0,0,0,True,False
Matapel Chemicals Sample,2023-08-01,Colorants,Organic Pigments,Jakarta WH,8212.14,494890563.66099995,68149.54666666668,3,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Colorants,Organic Pigments,Surabaya WH,5505.91,468636080.241,85115.1,1,0,0,0,False,False
Matapel Chemicals Sample,2023-08-01,Solvents,Solvents,Bandung WH,12325.949999999999,953551815.0716,58226.61666666667,3,1,0,1,True,False
Matapel Chemicals Sample,2023-08-01,Solvents,Solvents,Jakarta WH,5869.93,403202498.0357,68689.49,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Specialty Chemicals,Additives,Bandung WH,7188.7300000000005,478057427.10840005,63438.61,2,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Specialty Chemicals,Additives,Jakarta WH,3784.72,320070250.6104,84569.07,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Specialty Chemicals,Additives,Surabaya WH,1734.06,40555536.33719999,23387.62,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Binders,Industrial Resins,Bandung WH,10808.8,659379941.3053,59857.555,2,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Binders,Industrial Resins,Jakarta WH,9881.05,490919092.4769,48492.11,2,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Colorants,Inorganic Pigments,Bandung WH,7663.48,419801345.3964,53560.24,2,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Colorants,Inorganic Pigments,Jakarta WH,5822.77,557878836.7399,95809.87,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Colorants,Inorganic Pigments,Surabaya WH,5723.31,443626521.0813,77512.23,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Colorants,Organic Pigments,Bandung WH,10046.4,603880829.6015999,66170.36,2,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Colorants,Organic Pigments,Jakarta WH,550.47,39020043.931200005,70884.96,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Colorants,Organic Pigments,Surabaya WH,4604.79,400357388.2272,86943.68,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Solvents,Solvents,Bandung WH,5543.66,364446417.29919994,65741.12,1,0,0,0,False,False
Matapel Chemicals Sample,2023-09-01,Solvents,Solvents,Jakarta WH,-50.0,-1841733.0000000002,36834.66,1,1,0,1,False,False
Matapel Chemicals Sample,2023-09-01,Solvents,Solvents,Surabaya WH,12744.41,944773610.7538999,65488.88,2,0,0,0,True,False
Matapel Chemicals Sample,2023-10-01,Specialty Chemicals,Additives,Bandung WH,7166.35,486574403.6465,63064.03999999999,2,1,0,1,False,False
Matapel Chemicals Sample,2023-10-01,Specialty Chemicals,Additives,Jakarta WH,2465.9,58785576.46000001,23839.4,1,0,0,0,False,False
Matapel Chemicals Sample,2023-10-01,Specialty Chemicals,Additives,Surabaya WH,3716.5,318972477.65999997,85826.04,1,0,0,0,False,False
Matapel Chemicals Sample,2023-10-01,Binders,Industrial Resins,Bandung WH,10033.21,504804870.9268,49759.795,2,0,0,0,False,False
Matapel Chemicals Sample,2023-10-01,Binders,Industrial Resins,Jakarta WH,10605.84,580246114.7595,58818.475000000006,2,0,0,0,False,False
Matapel Chemicals Sample,2023-10-01,Colorants,Inorganic Pigments,Jakarta WH,2993.85,237824887.4685,79437.81,1,0,0,0,False,False
Matapel Chemicals Sample,2023-10-01,Colorants,Inorganic Pigments,Surabaya WH,15272.26,1087471749.5425,66355.67333333334,3,0,0,0,True,False
Matapel Chemicals Sample,2023-10-01,Colorants,Organic Pigments,Bandung WH,10451.31,654970514.1975,66668.94,2,0,0,0,False,False
Matapel Chemicals Sample,2023-10-01,Colorants,Organic Pigments,Jakarta WH,4872.88,395111850.27519995,76145.48999999999,2,1,0,1,False,False
Matapel Chemicals Sample,2023-10-01,Solvents,Solvents,Bandung WH,10436.87,842648983.8178,60079.869999999995,2,0,0,0,True,False
Matapel Chemicals Sample,2023-10-01,Solvents,Solvents,Jakarta WH,1354.85,71160705.259,52522.94,1,0,0,0,False,False
Matapel Chemicals Sample,2023-10-01,Solvents,Solvents,Surabaya WH,5751.0,396523168.56,68948.56,1,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Specialty Chemicals,Additives,Bandung WH,2843.13,64072521.798300005,22535.91,1,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Specialty Chemicals,Additives,Jakarta WH,7167.26,500725186.1178,66024.525,2,1,0,1,False,False
Matapel Chemicals Sample,2023-11-01,Specialty Chemicals,Additives,Surabaya WH,4746.74,382750436.9212,80634.38,1,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Binders,Industrial Resins,Bandung WH,7921.02,259266458.3598,37134.93,2,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Binders,Industrial Resins,Surabaya WH,10279.960000000001,677464543.1935,70973.525,2,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Colorants,Inorganic Pigments,Jakarta WH,15132.85,983046259.477,67734.86333333334,3,0,0,0,True,False
Matapel Chemicals Sample,2023-11-01,Colorants,Inorganic Pigments,Surabaya WH,5464.62,439896390.7338,80498.99,1,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Colorants,Organic Pigments,Bandung WH,3862.94,312440961.051,80881.65,1,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Colorants,Organic Pigments,Jakarta WH,11454.54,696574931.033,66360.73,3,0,0,0,False,False
Matapel Chemicals Sample,2023-11-01,Solvents,Solvents,Jakarta WH,17080.809999999998,1361425761.9654999,76785.275,2,0,0,0,True,False
Matapel Chemicals Sample,2023-11-01,Solvents,Solvents,Surabaya WH,2116.9,105737592.1048,44556.759999999995,2,0,0,0,False,False
Matapel Chemicals Sample,2023-12-01,Specialty Chemicals,Additives,Bandung WH,5663.51,369878473.1866,63499.73,2,1,0,1,False,False
Matapel Chemicals Sample,2023-12-01,Specialty Chemicals,Additives,Jakarta WH,7120.5599999999995,436920586.2924,54704.915,2,0,0,0,False,False
Matapel Chemicals Sample,2023-12-01,Binders,Industrial Resins,Bandung WH,6569.43,334118713.41660005,50859.62,1,0,0,0,False,False
Matapel Chemicals Sample,2023-12-01,Binders,Industrial Resins,Jakarta WH,3841.21,340671498.7939,88688.59,1,0,0,0,False,False
Matapel Chemicals Sample,2023-12-01,Binders,Industrial Resins,Surabaya WH,8037.35,258080277.2928,37657.69,2,0,0,0,False,False
Matapel Chemicals Sample,2023-12-01,Colorants,Inorganic Pigments,Bandung WH,3353.16,272548734.4656,81281.16,1,0,0,0,False,False
Matapel Chemicals Sample,2023-12-01,Colorants,Inorganic Pigments,Jakarta WH,14501.45,945915106.3847,67237.40666666666,3,0,0,0,True,False
Matapel Chemicals Sample,2023-12-01,Colorants,Organic Pigments,Bandung WH,11752.210000000001,713615255.5741,67987.23666666668,3,1,0,1,True,False
Matapel Chemicals Sample,2023-12-01,Colorants,Organic Pigments,Surabaya WH,3651.18,306920271.9726,84060.57,1,0,0,0,False,False
Matapel Chemicals Sample,2023-12-01,Solvents,Solvents,Jakarta WH,19759.739999999998,1438140369.7886,64869.17999999999,3,0,0,0,True,False
Matapel Chemicals Sample,2023-12-01,Solvents,Solvents,Surabaya WH,562.43,19577063.439999998,34808.0,1,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Specialty Chemicals,Additives,Bandung WH,4910.31,324953120.2932,66177.72,1,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Specialty Chemicals,Additives,Jakarta WH,3410.49,271897461.39629996,79723.87,1,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Specialty Chemicals,Additives,Surabaya WH,2611.39,60249922.46169999,43029.32,2,1,0,1,False,False
Matapel Chemicals Sample,2024-01-01,Binders,Industrial Resins,Bandung WH,8872.11,286102859.78069997,37334.965,2,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Binders,Industrial Resins,Jakarta WH,10176.89,678915532.8856001,72565.58,2,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Colorants,Inorganic Pigments,Bandung WH,3761.4,370506927.36,98502.4,1,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Colorants,Inorganic Pigments,Jakarta WH,4545.93,116872587.2304,25709.28,1,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Colorants,Inorganic Pigments,Surabaya WH,7782.110000000001,608993650.6384001,78483.265,2,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Colorants,Organic Pigments,Bandung WH,15770.650000000001,1035203902.4916,70798.86,3,0,0,0,True,False
Matapel Chemicals Sample,2024-01-01,Colorants,Organic Pigments,Jakarta WH,-50.0,-3523367.5000000005,70467.35,1,1,0,1,False,False
Matapel Chemicals Sample,2024-01-01,Solvents,Solvents,Bandung WH,1612.63,81532637.64400001,50558.8,1,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Solvents,Solvents,Jakarta WH,5861.82,402149859.28080004,53184.16500000001,2,0,0,0,False,False
Matapel Chemicals Sample,2024-01-01,Solvents,Solvents,Surabaya WH,12750.67,1028281734.8577,80645.31,1,0,0,0,True,False
Matapel Chemicals Sample,2024-02-01,Specialty Chemicals,Additives,Jakarta WH,4004.37,345848947.63560003,86367.88,1,0,0,0,False,False
Matapel Chemicals Sample,2024-02-01,Specialty Chemicals,Additives,Surabaya WH,7484.459999999999,370330376.6046,49339.90666666667,3,1,0,1,False,False
Matapel Chemicals Sample,2024-02-01,Binders,Industrial Resins,Jakarta WH,20059.33,1043983427.1856999,53568.2925,4,0,0,0,True,False
Matapel Chemicals Sample,2024-02-01,Colorants,Inorganic Pigments,Jakarta WH,11221.810000000001,615167044.8193,52482.455,2,0,0,0,False,False
Matapel Chemicals Sample,2024-02-01,Colorants,Inorganic Pigments,Surabaya WH,7769.56,654348667.4294,83969.76,2,0,0,0,False,False
Matapel Chemicals Sample,2024-02-01,Colorants,Organic Pigments,Jakarta WH,7989.96,421982386.6368,52814.08,1,0,0,0,False,False
Matapel Chemicals Sample,2024-02-01,Colorants,Organic Pigments,Surabaya WH,7197.85,593295863.0891001,79294.45333333332,3,1,0,1,False,False
Matapel Chemicals Sample,2024-02-01,Solvents,Solvents,Bandung WH,12820.25,1031047324.635,80423.34,1,0,0,0,True,False
Matapel Chemicals Sample,2024-02-01,Solvents,Solvents,Jakarta WH,-50.0,-1786745.0,35734.9,1,1,0,1,False,False
Matapel Chemicals Sample,2024-02-01,Solvents,Solvents,Surabaya WH,7099.81,449911297.60600007,60660.520000000004,2,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Specialty Chemicals,Additives,Bandung WH,-50.0,-3113441.5,62268.83,1,1,0,1,False,False
Matapel Chemicals Sample,2024-03-01,Specialty Chemicals,Additives,Jakarta WH,3272.26,73315737.9198,22405.23,1,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Specialty Chemicals,Additives,Surabaya WH,8021.4400000000005,601055507.4012,76357.185,2,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Binders,Industrial Resins,Bandung WH,3219.52,152254932.0288,47291.19,1,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Binders,Industrial Resins,Jakarta WH,10286.560000000001,693070411.8214,74879.025,2,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Binders,Industrial Resins,Surabaya WH,5587.89,156412808.2671,27991.39,1,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Colorants,Inorganic Pigments,Bandung WH,11413.07,878437321.3034,76960.19,2,0,0,0,True,False
Matapel Chemicals Sample,2024-03-01,Colorants,Inorganic Pigments,Surabaya WH,9058.099999999999,536451455.6223,61281.305,2,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Colorants,Organic Pigments,Bandung WH,5970.93,487731061.3067,82010.38500000001,2,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Colorants,Organic Pigments,Jakarta WH,-50.0,-3789512.9999999995,75790.26,1,1,0,1,False,False
Matapel Chemicals Sample,2024-03-01,Colorants,Organic Pigments,Surabaya WH,8160.26,425137713.623,52098.55,1,0,0,0,False,False
Matapel Chemicals Sample,2024-03-01,Solvents,Solvents,Jakarta WH,14097.19,1098321011.0345001,59645.83500000001,2,0,0,0,True,False
Matapel Chemicals Sample,2024-03-01,Solvents,Solvents,Surabaya WH,8081.870000000001,534160011.5867,61896.175,2,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Specialty Chemicals,Additives,Bandung WH,4692.4,310299074.12399995,66128.01,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Specialty Chemicals,Additives,Surabaya WH,4839.290000000001,256035085.9674,55259.53666666666,3,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Binders,Industrial Resins,Bandung WH,7461.289999999999,341761970.7998,58462.0,2,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Binders,Industrial Resins,Jakarta WH,2620.38,120871080.5778,46127.31,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Binders,Industrial Resins,Surabaya WH,6893.13,356114329.6173,51662.21,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Colorants,Inorganic Pigments,Bandung WH,4306.59,355013057.5956,82434.84,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Colorants,Inorganic Pigments,Jakarta WH,12089.67,696687671.1318,51687.475000000006,2,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Colorants,Inorganic Pigments,Surabaya WH,4313.61,395903470.88879997,91780.08,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Colorants,Organic Pigments,Bandung WH,707.92,50781961.59679999,71734.04,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Colorants,Organic Pigments,Jakarta WH,9639.59,555320081.5706,67003.24,2,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Colorants,Organic Pigments,Surabaya WH,4272.04,334392136.7432,78274.58,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Solvents,Solvents,Bandung WH,15029.380000000001,1173753344.5605,69205.985,2,0,0,0,True,False
Matapel Chemicals Sample,2024-04-01,Solvents,Solvents,Jakarta WH,1304.95,45018269.49600001,34498.08,1,0,0,0,False,False
Matapel Chemicals Sample,2024-04-01,Solvents,Solvents,Surabaya WH,5808.8,387420529.96,66695.45,1,0,0,0,False,False
Matapel Chemicals Sample,2024-05-01,Specialty Chemicals,Additives,Bandung WH,5231.12,358643128.5736,68559.53,1,0,0,0,False,False
Matapel Chemicals Sample,2024-05-01,Specialty Chemicals,Additives,Surabaya WH,5842.43,294234076.02199996,57021.026666666665,3,0,0,0,False,False
Matapel Chemicals Sample,2024-05-01,Binders,Industrial Resins,Bandung WH,13054.05,565321259.6295,42051.35,2,0,0,0,False,False
Matapel Chemicals Sample,2024-05-01,Binders,Industrial Resins,Jakarta WH,4050.8900000000003,268158391.96130002,69213.725,2,0,0,0,False,False
