company,card_name,inv_number,inv_date,inv_due_date,payment_date_1,payment_date_2,pymnt_group,extra_days,days_overdue,aging_bucket,doc_total,paid_to_date,outstanding,source_aging_bucket,is_overdue,aging_status,current_or_future_amount,overdue_amount,invoice_month,due_month
Matapel Tradindo Sample,Supplier 010,AP-00015,2025-10-07,2025-11-06,2025-10-20,,Net 30,114,114,90+,93944355.1,70124431.67,23819923.43,90+,True,Overdue,0.0,23819923.43,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 014,AP-00016,2025-12-05,2026-01-19,2026-01-10,,Net 45,40,40,31-60,53037585.94,23349832.01,29687753.93,31-60,True,Overdue,0.0,29687753.93,2025-12-01,2026-01-01
Matapel Chemicals Sample,Supplier 003,AP-00017,2025-10-05,2025-10-19,2025-10-06,,Net 14,132,132,90+,106465488.86,25572794.92,80892693.95,90+,True,Overdue,0.0,80892693.95,2025-10-01,2025-10-01
Matapel Tradindo Sample,Supplier 004,AP-00018,2025-12-30,2026-01-29,2026-01-14,,Net 30,30,30,1-30,175524056.81,69134827.38,106389229.43,1-30,True,Overdue,0.0,106389229.43,2025-12-01,2026-01-01
Matapel Tradindo Sample,Supplier 009,AP-00019,2026-01-04,2026-03-05,2026-01-13,,Net 60,0,-5,Current,13035483.48,3124427.39,9911056.09,Current,False,Current/Future,9911056.09,0.0,2026-01-01,2026-03-01
Matapel Chemicals Sample,Supplier 009,AP-00020,2025-10-10,2025-11-09,2025-10-26,,Net 30,111,111,90+,12131091.36,7391804.55,4739286.82,90+,True,Overdue,0.0,4739286.82,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 002,AP-00021,2025-12-20,2026-01-19,2025-12-27,,Net 30,40,40,31-60,35388220.6,23492134.13,11896086.47,31-60,True,Overdue,0.0,11896086.47,2025-12-01,2026-01-01
Matapel Tradindo Sample,Supplier 009,AP-00022,2025-11-29,2025-12-29,2025-12-25,,Net 30,61,61,61-90,80042270.3,53390828.01,26651442.29,61-90,True,Overdue,0.0,26651442.29,2025-11-01,2025-12-01
Matapel Tradindo Sample,Supplier 007,AP-00023,2025-11-06,2025-12-21,2025-12-14,,Net 45,69,69,61-90,39384574.0,12784293.43,26600280.58,61-90,True,Overdue,0.0,26600280.58,2025-11-01,2025-12-01
Matapel Tradindo Sample,Supplier 011,AP-00024,2025-09-14,2025-10-14,2025-10-10,,Net 30,137,137,90+,92572839.06,29665329.7,62907509.36,90+,True,Overdue,0.0,62907509.36,2025-09-01,2025-10-01
Matapel Tradindo Sample,Supplier 007,AP-00025,2025-09-21,2025-11-20,2025-10-21,,Net 60,100,100,90+,8499483.17,3106977.38,5392505.79,90+,True,Overdue,0.0,5392505.79,2025-09-01,2025-11-01
Matapel Tradindo Sample,Supplier 006,AP-00026,2025-11-16,2026-01-15,2025-12-15,,Net 60,44,44,31-60,98125298.26,58863104.69,39262193.58,31-60,True,Overdue,0.0,39262193.58,2025-11-01,2026-01-01
Matapel Chemicals Sample,Supplier 011,AP-00027,2025-09-14,2025-11-13,2025-09-28,,Net 60,107,107,90+,116731817.31,21390511.1,95341306.21,90+,True,Overdue,0.0,95341306.21,2025-09-01,2025-11-01
Matapel Chemicals Sample,Supplier 014,AP-00028,2025-10-06,2025-11-20,2025-10-09,,Net 45,100,100,90+,19582251.83,11140415.75,8441836.08,90+,True,Overdue,0.0,8441836.08,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 001,AP-00029,2025-11-20,2026-01-19,2025-12-31,,Net 60,40,40,31-60,55807062.36,8685571.97,47121490.39,31-60,True,Overdue,0.0,47121490.39,2025-11-01,2026-01-01
Matapel Tradindo Sample,Supplier 002,AP-00030,2025-12-07,2026-01-06,2025-12-22,,Net 30,53,53,31-60,110678463.01,8988789.97,101689673.05,31-60,True,Overdue,0.0,101689673.05,2025-12-01,2026-01-01
Matapel Chemicals Sample,Supplier 005,AP-00031,2025-09-23,2025-11-07,2025-09-24,,Net 45,113,113,90+,61834944.18,26600435.9,35234508.29,90+,True,Overdue,0.0,35234508.29,2025-09-01,2025-11-01
Matapel Tradindo Sample,Supplier 003,AP-00032,2025-11-21,2026-01-05,2025-11-26,,Net 45,54,54,31-60,153708315.7,46272134.36,107436181.35,31-60,True,Overdue,0.0,107436181.35,2025-11-01,2026-01-01
Matapel Tradindo Sample,Supplier 003,AP-00033,2025-10-03,2025-11-02,2025-10-26,,Net 30,118,118,90+,171236539.84,20443842.06,150792697.79,90+,True,Overdue,0.0,150792697.79,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 001,AP-00034,2025-10-27,2025-12-26,2025-11-19,,Net 60,64,64,61-90,37315694.99,23077928.44,14237766.55,61-90,True,Overdue,0.0,14237766.55,2025-10-01,2025-12-01
Matapel Tradindo Sample,Supplier 001,AP-00035,2025-12-23,2026-01-22,2026-01-21,,Net 30,37,37,31-60,133125197.52,27028410.59,106096786.93,31-60,True,Overdue,0.0,106096786.93,2025-12-01,2026-01-01
Matapel Chemicals Sample,Supplier 004,AP-00036,2025-10-06,2025-11-05,2025-10-26,,Net 30,115,115,90+,108886574.96,30455539.28,78431035.68,90+,True,Overdue,0.0,78431035.68,2025-10-01,2025-11-01
Matapel Chemicals Sample,Supplier 002,AP-00037,2025-11-14,2026-01-13,2025-12-22,,Net 60,46,46,31-60,72791301.98,53394233.13,19397068.85,31-60,True,Overdue,0.0,19397068.85,2025-11-01,2026-01-01
Matapel Tradindo Sample,Supplier 008,AP-00038,2025-09-14,2025-09-28,2025-09-23,,Net 14,153,153,90+,174180179.81,31764747.07,142415432.74,90+,True,Overdue,0.0,142415432.74,2025-09-01,2025-09-01
Matapel Tradindo Sample,Supplier 009,AP-00039,2025-10-29,2025-12-28,2025-11-11,,Net 60,62,62,61-90,27658880.16,237656.35,27421223.81,61-90,True,Overdue,0.0,27421223.81,2025-10-01,2025-12-01
Matapel Tradindo Sample,Supplier 015,AP-00040,2025-09-08,2025-10-23,2025-09-19,,Net 45,128,128,90+,47002325.83,33106304.07,13896021.76,90+,True,Overdue,0.0,13896021.76,2025-09-01,2025-10-01
Matapel Chemicals Sample,Supplier 012,AP-00041,2025-11-05,2025-11-19,2025-11-16,,Net 14,101,101,90+,122332542.28,91853485.42,30479056.86,90+,True,Overdue,0.0,30479056.86,2025-11-01,2025-11-01
Matapel Tradindo Sample,Supplier 012,AP-00042,2025-10-26,2025-11-25,2025-11-04,,Net 30,95,95,90+,162722074.98,56113461.63,106608613.35,90+,True,Overdue,0.0,106608613.35,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 007,AP-00043,2025-10-17,2025-10-31,2025-10-29,,Net 14,120,120,90+,113851736.12,23958562.95,89893173.17,90+,True,Overdue,0.0,89893173.17,2025-10-01,2025-10-01
Matapel Tradindo Sample,Supplier 015,AP-00044,2025-12-10,2026-02-08,2026-01-03,,Net 60,20,20,1-30,158090985.46,13186104.13,144904881.33,1-30,True,Overdue,0.0,144904881.33,2025-12-01,2026-02-01
Matapel Chemicals Sample,Supplier 011,AP-00045,2025-12-24,2026-02-07,2026-01-24,,Net 45,21,21,1-30,9730254.13,2154171.25,7576082.88,1-30,True,Overdue,0.0,7576082.88,2025-12-01,2026-02-01
Matapel Chemicals Sample,Supplier 002,AP-00046,2025-12-06,2026-01-20,2025-12-19,,Net 45,39,39,31-60,54636143.26,6193677.95,48442465.31,31-60,True,Overdue,0.0,48442465.31,2025-12-01,2026-01-01
Matapel Chemicals Sample,Supplier 012,AP-00047,2026-01-07,2026-02-21,2026-01-23,,Net 45,7,7,1-30,144852140.52,114512677.16,30339463.36,1-30,True,Overdue,0.0,30339463.36,2026-01-01,2026-02-01
Matapel Chemicals Sample,Supplier 012,AP-00048,2025-10-06,2025-11-05,2025-10-08,,Net 30,115,115,90+,22727763.34,2151977.48,20575785.87,90+,True,Overdue,0.0,20575785.87,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 007,AP-00049,2025-09-09,2025-11-08,2025-10-18,,Net 60,112,112,90+,165759261.29,52987734.44,112771526.84,90+,True,Overdue,0.0,112771526.84,2025-09-01,2025-11-01
Matapel Chemicals Sample,Supplier 014,AP-00050,2025-11-04,2025-11-18,2025-11-14,,Net 14,102,102,90+,123570042.25,83780803.58,39789238.67,90+,True,Overdue,0.0,39789238.67,2025-11-01,2025-11-01
Matapel Chemicals Sample,Supplier 015,AP-00051,2025-11-23,2026-01-07,2026-01-03,,Net 45,52,52,31-60,175275259.37,32156174.54,143119084.83,31-60,True,Overdue,0.0,143119084.83,2025-11-01,2026-01-01
Matapel Tradindo Sample,Supplier 002,AP-00052,2025-12-08,2026-01-22,2025-12-25,,Net 45,37,37,31-60,157138586.81,67954674.7,89183912.11,31-60,True,Overdue,0.0,89183912.11,2025-12-01,2026-01-01
Matapel Chemicals Sample,Supplier 004,AP-00053,2025-10-11,2025-11-10,2025-10-30,,Net 30,110,110,90+,22059496.83,9441625.13,12617871.7,90+,True,Overdue,0.0,12617871.7,2025-10-01,2025-11-01
Matapel Chemicals Sample,Supplier 003,AP-00054,2025-10-06,2025-12-05,2025-11-08,,Net 60,85,85,61-90,8386133.53,795233.53,7590900.0,61-90,True,Overdue,0.0,7590900.0,2025-10-01,2025-12-01
Matapel Tradindo Sample,Supplier 013,AP-00055,2026-01-08,2026-01-22,2026-01-14,,Net 14,37,37,31-60,6296645.34,4360835.05,1935810.28,31-60,True,Overdue,0.0,1935810.28,2026-01-01,2026-01-01
Matapel Tradindo Sample,Supplier 011,AP-00056,2026-01-14,2026-02-28,2026-01-16,,Net 45,0,0,Current,167081667.82,35160483.06,131921184.75,Current,False,Current/Future,131921184.75,0.0,2026-01-01,2026-02-01
Matapel Tradindo Sample,Supplier 014,AP-00057,2025-10-29,2025-11-12,2025-11-01,,Net 14,108,108,90+,81874826.3,31849042.55,50025783.75,90+,True,Overdue,0.0,50025783.75,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 003,AP-00058,2025-12-24,2026-02-22,2026-01-21,,Net 60,6,6,1-30,125224609.18,96082902.4,29141706.78,1-30,True,Overdue,0.0,29141706.78,2025-12-01,2026-02-01
Matapel Tradindo Sample,Supplier 014,AP-00059,2025-11-02,2026-01-01,2025-11-26,,Net 60,58,58,31-60,115306990.53,31739088.56,83567901.97,31-60,True,Overdue,0.0,83567901.97,2025-11-01,2026-01-01
Matapel Chemicals Sample,Supplier 006,AP-00060,2025-09-14,2025-10-29,2025-09-28,,Net 45,122,122,90+,141819751.65,47543458.9,94276292.75,90+,True,Overdue,0.0,94276292.75,2025-09-01,2025-10-01
Matapel Tradindo Sample,Supplier 011,AP-00061,2025-10-28,2025-12-27,2025-12-03,,Net 60,63,63,61-90,24663702.61,8835975.08,15827727.53,61-90,True,Overdue,0.0,15827727.53,2025-10-01,2025-12-01
Matapel Chemicals Sample,Supplier 001,AP-00062,2025-11-01,2025-12-16,2025-11-14,,Net 45,74,74,61-90,66108186.11,12255076.44,53853109.67,61-90,True,Overdue,0.0,53853109.67,2025-11-01,2025-12-01
Matapel Tradindo Sample,Supplier 001,AP-00063,2025-10-26,2025-12-10,2025-11-05,,Net 45,80,80,61-90,60679125.14,24686810.35,35992314.79,61-90,True,Overdue,0.0,35992314.79,2025-10-01,2025-12-01
Matapel Chemicals Sample,Supplier 009,AP-00064,2025-10-03,2025-11-02,2025-10-05,,Net 30,118,118,90+,176425531.2,75809840.61,100615690.59,90+,True,Overdue,0.0,100615690.59,2025-10-01,2025-11-01
Matapel Chemicals Sample,Supplier 010,AP-00065,2025-10-24,2025-12-08,2025-11-15,,Net 45,82,82,61-90,58075699.48,46003248.01,12072451.47,61-90,True,Overdue,0.0,12072451.47,2025-10-01,2025-12-01
Matapel Chemicals Sample,Supplier 005,AP-00066,2025-09-28,2025-11-27,2025-10-12,,Net 60,93,93,90+,19559133.4,12369945.79,7189187.61,90+,True,Overdue,0.0,7189187.61,2025-09-01,2025-11-01
Matapel Tradindo Sample,Supplier 010,AP-00067,2026-01-06,2026-03-07,2026-01-27,,Net 60,0,-7,Current,29920725.68,1242370.61,28678355.07,Current,False,Current/Future,28678355.07,0.0,2026-01-01,2026-03-01
Matapel Tradindo Sample,Supplier 012,AP-00068,2025-10-04,2025-11-18,2025-11-01,,Net 45,102,102,90+,175086787.69,56108044.52,118978743.17,90+,True,Overdue,0.0,118978743.17,2025-10-01,2025-11-01
Matapel Chemicals Sample,Supplier 008,AP-00069,2025-12-26,2026-02-24,2026-02-12,,Net 60,4,4,1-30,174429077.03,99922609.93,74506467.11,1-30,True,Overdue,0.0,74506467.11,2025-12-01,2026-02-01
Matapel Chemicals Sample,Supplier 001,AP-00070,2025-11-30,2026-01-29,2026-01-14,,Net 60,30,30,1-30,164969474.34,50048669.53,114920804.8,1-30,True,Overdue,0.0,114920804.8,2025-11-01,2026-01-01
Matapel Chemicals Sample,Supplier 001,AP-00071,2026-01-04,2026-01-18,2026-01-15,,Net 14,41,41,31-60,57782034.44,23417969.69,34364064.75,31-60,True,Overdue,0.0,34364064.75,2026-01-01,2026-01-01
Matapel Tradindo Sample,Supplier 014,AP-00072,2025-09-15,2025-10-30,2025-09-20,,Net 45,121,121,90+,99195925.48,65916408.28,33279517.19,90+,True,Overdue,0.0,33279517.19,2025-09-01,2025-10-01
Matapel Chemicals Sample,Supplier 015,AP-00073,2025-10-29,2025-11-12,2025-11-09,,Net 14,108,108,90+,12126215.01,640392.89,11485822.12,90+,True,Overdue,0.0,11485822.12,2025-10-01,2025-11-01
Matapel Tradindo Sample,Supplier 006,AP-00074,2026-01-03,2026-02-02,2026-01-18,,Net 30,26,26,1-30,22630729.92,240128.0,22390601.92,1-30,True,Overdue,0.0,22390601.92,2026-01-01,2026-02-01
Matapel Chemicals Sample,Supplier 010,AP-00075,2025-09-10,2025-09-24,2025-09-14,,Net 14,157,157,90+,139100716.52,22799471.65,116301244.87,90+,True,Overdue,0.0,116301244.87,2025-09-01,2025-09-01
Matapel Tradindo Sample,Supplier 011,AP-00076,2025-10-10,2025-10-24,2025-10-18,,Net 14,127,127,90+,71701108.19,13547345.4,58153762.79,90+,True,Overdue,0.0,58153762.79,2025-10-01,2025-10-01
Matapel Tradindo Sample,Supplier 015,AP-00077,2026-01-13,2026-01-27,2026-01-14,,Net 14,32,32,31-60,14036581.49,4049061.77,9987519.72,31-60,True,Overdue,0.0,9987519.72,2026-01-01,2026-01-01
Matapel Tradindo Sample,Supplier 011,AP-00078,2025-09-06,2025-11-05,2025-10-28,,Net 60,115,115,90+,136069133.73,69698923.18,66370210.54,90+,True,Overdue,0.0,66370210.54,2025-09-01,2025-11-01
Matapel Chemicals Sample,Supplier 013,AP-00079,2025-10-23,2025-11-22,2025-11-06,,Net 30,98,98,90+,12955439.03,4859506.36,8095932.67,90+,True,Overdue,0.0,8095932.67,2025-10-01,2025-11-01
