company,po_number,doc_date,expected_deliv_date,actual_deliv_date,card_name,itms_grp_nam,item_category,parent_code,parent_name,item_code,item_name,quantity,doc_currency,doc_price,doc_rate,exc_rate,price_usd,product_family,product_line,month,purchase_lead_time_days,delivery_delay_days,has_actual_delivery_date,is_late_delivery
Matapel Chemicals Sample,100012,2023-01-02,2023-01-24,2023-01-20,Supplier 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1746.3,USD,2.9799,15500,15500,2.9799,Colorants,Organic Pigments,2023-01-01,18,-4,True,False
Matapel Chemicals Sample,100013,2023-03-12,2023-04-10,2023-04-12,Supplier 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1080.72,USD,3.2335,15500,15500,3.2335,Colorants,Organic Pigments,2023-03-01,31,2,True,True
Matapel Chemicals Sample,100014,2023-05-01,2023-05-15,2023-05-20,Supplier 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,4159.56,USD,2.8685,15500,15500,2.8685,Colorants,Organic Pigments,2023-05-01,19,5,True,True
Matapel Chemicals Sample,100015,2023-07-06,2023-08-06,2023-08-10,Supplier 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,2491.99,USD,2.8629,15500,15500,2.8629,Colorants,Organic Pigments,2023-07-01,35,4,True,True
Matapel Chemicals Sample,100016,2023-09-12,2023-10-15,2023-10-12,Supplier 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,2519.26,USD,3.0697,15500,15500,3.0697,Colorants,Organic Pigments,2023-09-01,30,-3,True,False
Matapel Chemicals Sample,100017,2023-11-04,2023-11-30,2023-11-29,Supplier 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,3906.49,USD,3.1451,15500,15500,3.1451,Colorants,Organic Pigments,2023-11-01,25,-1,True,False
Matapel Chemicals Sample,100018,2024-01-08,2024-01-27,2024-02-09,Supplier 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,2423.72,USD,2.7419,15500,15500,2.7419,Colorants,Organic Pigments,2024-01-01,32,13,True,True
Matapel Chemicals Sample,100019,2024-03-09,2024-04-06,2024-04-13,Supplier 007,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1593.05,USD,3.2744,15500,15500,3.2744,Colorants,Organic Pigments,2024-03-01,35,7,True,True
Matapel Chemicals Sample,100020,2024-05-02,2024-05-27,2024-06-07,Supplier 001,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,2772.5,USD,2.8255,15500,15500,2.8255,Colorants,Organic Pigments,2024-05-01,36,11,True,True
Matapel Chemicals Sample,100021,2025-01-05,2025-01-24,2025-01-26,Supplier 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,3877.26,USD,3.2668,15500,15500,3.2668,Colorants,Organic Pigments,2025-01-01,21,2,True,True
Matapel Chemicals Sample,100022,2025-03-03,2025-03-29,2025-04-01,Supplier 013,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,2482.63,USD,2.9688,15500,15500,2.9688,Colorants,Organic Pigments,2025-03-01,29,3,True,True
Matapel Chemicals Sample,100023,2025-05-05,2025-05-23,2025-05-30,Supplier 007,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,2279.0,USD,2.7724,15500,15500,2.7724,Colorants,Organic Pigments,2025-05-01,25,7,True,True
Matapel Chemicals Sample,100024,2025-09-04,2025-09-24,2025-09-27,Supplier 012,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,2630.98,USD,3.1775,15500,15500,3.1775,Colorants,Organic Pigments,2025-09-01,23,3,True,True
Matapel Chemicals Sample,100025,2023-05-03,2023-05-23,2023-05-23,Supplier 002,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,3879.12,USD,5.0311,15500,15500,5.0311,Colorants,Organic Pigments,2023-05-01,20,0,True,False
Matapel Chemicals Sample,100026,2023-07-08,2023-08-02,2023-08-02,Supplier 012,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1624.24,USD,5.2169,15500,15500,5.2169,Colorants,Organic Pigments,2023-07-01,25,0,True,False
Matapel Chemicals Sample,100027,2023-09-10,2023-10-10,2023-10-25,Supplier 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,3500.89,USD,5.1833,15500,15500,5.1833,Colorants,Organic Pigments,2023-09-01,45,15,True,True
Matapel Chemicals Sample,100028,2023-11-06,2023-11-20,2023-11-19,Supplier 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,2818.39,USD,4.4811,15500,15500,4.4811,Colorants,Organic Pigments,2023-11-01,13,-1,True,False
Matapel Chemicals Sample,100029,2024-01-01,2024-02-01,2024-01-28,Supplier 009,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1793.62,USD,5.2678,15500,15500,5.2678,Colorants,Organic Pigments,2024-01-01,27,-4,True,False
Matapel Chemicals Sample,100030,2024-05-06,2024-06-07,2024-06-14,Supplier 013,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,2800.88,USD,4.7475,15500,15500,4.7475,Colorants,Organic Pigments,2024-05-01,39,7,True,True
Matapel Chemicals Sample,100031,2024-09-06,2024-10-10,2024-10-20,Supplier 007,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1562.84,USD,4.8789,15500,15500,4.8789,Colorants,Organic Pigments,2024-09-01,44,10,True,True
Matapel Chemicals Sample,100032,2025-01-02,2025-02-03,2025-02-04,Supplier 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,2475.66,USD,5.1784,15500,15500,5.1784,Colorants,Organic Pigments,2025-01-01,33,1,True,True
Matapel Chemicals Sample,100033,2025-03-11,2025-04-02,2025-04-03,Supplier 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1973.85,USD,4.5621,15500,15500,4.5621,Colorants,Organic Pigments,2025-03-01,23,1,True,True
Matapel Chemicals Sample,100034,2025-05-04,2025-05-19,2025-05-23,Supplier 009,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,2139.2,USD,5.1914,15500,15500,5.1914,Colorants,Organic Pigments,2025-05-01,19,4,True,True
Matapel Chemicals Sample,100035,2025-09-03,2025-10-03,2025-10-12,Supplier 006,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,3689.99,USD,4.7642,15500,15500,4.7642,Colorants,Organic Pigments,2025-09-01,39,9,True,True
Matapel Chemicals Sample,100036,2025-11-02,2025-11-17,2025-11-08,Supplier 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,2142.56,USD,4.4644,15500,15500,4.4644,Colorants,Organic Pigments,2025-11-01,6,-9,True,False
Matapel Chemicals Sample,100037,2023-01-11,2023-01-26,2023-01-25,Supplier 009,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2530.18,USD,4.0992,15500,15500,4.0992,Colorants,Organic Pigments,2023-01-01,14,-1,True,False
Matapel Chemicals Sample,100038,2023-03-11,2023-04-07,2023-04-08,Supplier 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,1693.58,USD,4.1452,15500,15500,4.1452,Colorants,Organic Pigments,2023-03-01,28,1,True,True
Matapel Chemicals Sample,100039,2023-05-11,2023-06-03,2023-05-28,Supplier 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2383.47,USD,4.0781,15500,15500,4.0781,Colorants,Organic Pigments,2023-05-01,17,-6,True,False
Matapel Chemicals Sample,100040,2023-07-09,2023-07-24,2023-08-05,Supplier 006,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2966.2,USD,4.278,15500,15500,4.278,Colorants,Organic Pigments,2023-07-01,27,12,True,True
Matapel Chemicals Sample,100041,2023-09-03,2023-10-04,2023-10-14,Supplier 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2814.0,USD,4.2236,15500,15500,4.2236,Colorants,Organic Pigments,2023-09-01,41,10,True,True
Matapel Chemicals Sample,100042,2023-11-03,2023-12-06,2023-12-06,Supplier 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2136.99,USD,4.1579,15500,15500,4.1579,Colorants,Organic Pigments,2023-11-01,33,0,True,False
Matapel Chemicals Sample,100043,2024-01-02,2024-02-04,2024-02-10,Supplier 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2942.18,USD,3.9173,15500,15500,3.9173,Colorants,Organic Pigments,2024-01-01,39,6,True,True
Matapel Chemicals Sample,100044,2024-05-07,2024-06-02,2024-05-26,Supplier 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,3155.52,USD,4.2802,15500,15500,4.2802,Colorants,Organic Pigments,2024-05-01,19,-7,True,False
Matapel Chemicals Sample,100045,2024-07-05,2024-07-30,2024-07-30,Supplier 002,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,3357.31,USD,4.2519,15500,15500,4.2519,Colorants,Organic Pigments,2024-07-01,25,0,True,False
Matapel Chemicals Sample,100046,2024-09-04,2024-09-23,2024-09-23,Supplier 007,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,3149.41,USD,4.2639,15500,15500,4.2639,Colorants,Organic Pigments,2024-09-01,19,0,True,False
Matapel Chemicals Sample,100047,2024-11-02,2024-12-01,2024-12-14,Supplier 006,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,1986.06,USD,3.8521,15500,15500,3.8521,Colorants,Organic Pigments,2024-11-01,42,13,True,True
Matapel Chemicals Sample,100048,2025-01-12,2025-02-12,2025-02-06,Supplier 006,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2180.83,USD,3.8963,15500,15500,3.8963,Colorants,Organic Pigments,2025-01-01,25,-6,True,False
Matapel Chemicals Sample,100049,2025-09-05,2025-09-20,2025-09-25,Supplier 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,2101.45,USD,4.0554,15500,15500,4.0554,Colorants,Organic Pigments,2025-09-01,20,5,True,True
Matapel Chemicals Sample,100050,2025-11-07,2025-11-28,2025-11-23,Supplier 009,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,3792.34,USD,3.9606,15500,15500,3.9606,Colorants,Organic Pigments,2025-11-01,16,-5,True,False
Matapel Chemicals Sample,100051,2023-01-12,2023-01-28,2023-02-06,Supplier 014,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,2176.11,USD,1.4396,15500,15500,1.4396,Colorants,Inorganic Pigments,2023-01-01,25,9,True,True
Matapel Chemicals Sample,100052,2023-03-06,2023-04-05,2023-04-06,Supplier 010,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,3712.82,USD,1.4198,15500,15500,1.4198,Colorants,Inorganic Pigments,2023-03-01,31,1,True,True
Matapel Chemicals Sample,100053,2023-07-08,2023-07-22,2023-08-03,Supplier 002,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,1118.43,USD,1.4297,15500,15500,1.4297,Colorants,Inorganic Pigments,2023-07-01,26,12,True,True
Matapel Chemicals Sample,100054,2023-09-06,2023-09-25,2023-10-03,Supplier 012,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,2024.88,USD,1.4324,15500,15500,1.4324,Colorants,Inorganic Pigments,2023-09-01,27,8,True,True
Matapel Chemicals Sample,100055,2023-11-01,2023-11-30,2023-12-01,Supplier 003,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,2920.06,USD,1.5062,15500,15500,1.5062,Colorants,Inorganic Pigments,2023-11-01,30,1,True,True
Matapel Chemicals Sample,100056,2024-01-10,2024-02-02,2024-01-31,Supplier 008,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,2979.86,USD,1.4038,15500,15500,1.4038,Colorants,Inorganic Pigments,2024-01-01,21,-2,True,False
Matapel Chemicals Sample,100057,2024-05-12,2024-06-07,2024-06-07,Supplier 014,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,2259.75,USD,1.5201,15500,15500,1.5201,Colorants,Inorganic Pigments,2024-05-01,26,0,True,False
Matapel Chemicals Sample,100058,2024-07-04,2024-08-06,2024-08-11,Supplier 008,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,4156.87,USD,1.4356,15500,15500,1.4356,Colorants,Inorganic Pigments,2024-07-01,38,5,True,True
Matapel Chemicals Sample,100059,2024-09-11,2024-10-13,2024-10-08,Supplier 004,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,3745.52,USD,1.367,15500,15500,1.367,Colorants,Inorganic Pigments,2024-09-01,27,-5,True,False
Matapel Chemicals Sample,100060,2024-11-04,2024-11-20,2024-11-19,Supplier 006,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,1336.29,USD,1.3817,15500,15500,1.3817,Colorants,Inorganic Pigments,2024-11-01,15,-1,True,False
Matapel Chemicals Sample,100061,2025-01-03,2025-01-28,2025-01-27,Supplier 013,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,4036.72,USD,1.4838,15500,15500,1.4838,Colorants,Inorganic Pigments,2025-01-01,24,-1,True,False
Matapel Chemicals Sample,100062,2025-03-12,2025-04-12,2025-04-17,Supplier 001,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,3036.81,USD,1.5408,15500,15500,1.5408,Colorants,Inorganic Pigments,2025-03-01,36,5,True,True
Matapel Chemicals Sample,100063,2025-05-05,2025-06-04,2025-06-04,Supplier 014,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,2539.98,USD,1.4917,15500,15500,1.4917,Colorants,Inorganic Pigments,2025-05-01,30,0,True,False
Matapel Chemicals Sample,100064,2025-07-02,2025-08-01,2025-08-02,Supplier 014,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,1695.56,USD,1.5544,15500,15500,1.5544,Colorants,Inorganic Pigments,2025-07-01,31,1,True,True
Matapel Chemicals Sample,100065,2025-09-05,2025-10-04,2025-10-04,Supplier 002,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-01,Inorganic Pigments Grade 1,1397.15,USD,1.4737,15500,15500,1.4737,Colorants,Inorganic Pigments,2025-09-01,29,0,True,False
Matapel Chemicals Sample,100066,2023-01-01,2023-01-26,2023-02-05,Supplier 002,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,2417.19,USD,5.6168,15500,15500,5.6168,Colorants,Inorganic Pigments,2023-01-01,35,10,True,True
Matapel Chemicals Sample,100067,2023-07-07,2023-08-10,2023-07-25,Supplier 002,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,3517.94,USD,5.3905,15500,15500,5.3905,Colorants,Inorganic Pigments,2023-07-01,18,-16,True,False
Matapel Chemicals Sample,100068,2023-09-04,2023-10-08,2023-10-10,Supplier 014,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,1694.37,USD,5.1283,15500,15500,5.1283,Colorants,Inorganic Pigments,2023-09-01,36,2,True,True
Matapel Chemicals Sample,100069,2024-01-04,2024-02-05,2024-02-05,Supplier 015,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,2884.94,USD,5.1163,15500,15500,5.1163,Colorants,Inorganic Pigments,2024-01-01,32,0,True,False
Matapel Chemicals Sample,100070,2024-03-12,2024-04-01,2024-04-01,Supplier 005,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,2391.04,USD,5.8682,15500,15500,5.8682,Colorants,Inorganic Pigments,2024-03-01,20,0,True,False
Matapel Chemicals Sample,100071,2024-07-04,2024-08-04,2024-08-04,Supplier 003,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,3136.18,USD,5.3174,15500,15500,5.3174,Colorants,Inorganic Pigments,2024-07-01,31,0,True,False
Matapel Chemicals Sample,100072,2024-09-01,2024-09-17,2024-09-13,Supplier 013,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,2200.41,USD,5.337,15500,15500,5.337,Colorants,Inorganic Pigments,2024-09-01,12,-4,True,False
Matapel Chemicals Sample,100073,2024-11-05,2024-11-30,2024-11-25,Supplier 012,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,1673.2,USD,5.1454,15500,15500,5.1454,Colorants,Inorganic Pigments,2024-11-01,20,-5,True,False
Matapel Chemicals Sample,100074,2025-01-10,2025-02-01,2025-01-28,Supplier 012,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,2531.38,USD,5.6539,15500,15500,5.6539,Colorants,Inorganic Pigments,2025-01-01,18,-4,True,False
Matapel Chemicals Sample,100075,2025-03-05,2025-03-29,2025-03-22,Supplier 005,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,1826.01,USD,5.6658,15500,15500,5.6658,Colorants,Inorganic Pigments,2025-03-01,17,-7,True,False
Matapel Chemicals Sample,100076,2025-09-05,2025-10-05,2025-10-02,Supplier 004,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,1421.06,USD,5.1865,15500,15500,5.1865,Colorants,Inorganic Pigments,2025-09-01,27,-3,True,False
Matapel Chemicals Sample,100077,2025-11-06,2025-11-23,2025-11-26,Supplier 009,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-02,Inorganic Pigments Grade 2,3652.86,USD,5.5793,15500,15500,5.5793,Colorants,Inorganic Pigments,2025-11-01,20,3,True,True
Matapel Chemicals Sample,100078,2023-01-05,2023-02-06,2023-02-05,Supplier 004,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,2787.86,USD,4.0582,15500,15500,4.0582,Colorants,Inorganic Pigments,2023-01-01,31,-1,True,False
Matapel Chemicals Sample,100079,2023-03-11,2023-03-31,2023-04-12,Supplier 015,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,3980.68,USD,4.2937,15500,15500,4.2937,Colorants,Inorganic Pigments,2023-03-01,32,12,True,True
Matapel Chemicals Sample,100080,2023-05-06,2023-05-29,2023-05-29,Supplier 011,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,615.86,USD,4.6153,15500,15500,4.6153,Colorants,Inorganic Pigments,2023-05-01,23,0,True,False
Matapel Chemicals Sample,100081,2023-07-05,2023-07-20,2023-07-15,Supplier 004,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,4417.9,USD,4.3211,15500,15500,4.3211,Colorants,Inorganic Pigments,2023-07-01,10,-5,True,False
Matapel Chemicals Sample,100082,2023-09-07,2023-09-21,2023-09-26,Supplier 015,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,2925.74,USD,4.6414,15500,15500,4.6414,Colorants,Inorganic Pigments,2023-09-01,19,5,True,True
Matapel Chemicals Sample,100083,2024-01-05,2024-01-28,2024-02-01,Supplier 008,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,1610.13,USD,4.7896,15500,15500,4.7896,Colorants,Inorganic Pigments,2024-01-01,27,4,True,True
Matapel Chemicals Sample,100084,2024-05-07,2024-05-26,2024-06-03,Supplier 009,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,2251.92,USD,4.3362,15500,15500,4.3362,Colorants,Inorganic Pigments,2024-05-01,27,8,True,True
Matapel Chemicals Sample,100085,2024-07-08,2024-07-28,2024-07-28,Supplier 015,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,1891.17,USD,4.5984,15500,15500,4.5984,Colorants,Inorganic Pigments,2024-07-01,20,0,True,False
Matapel Chemicals Sample,100086,2024-09-04,2024-09-24,2024-09-24,Supplier 003,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,2185.36,USD,4.267,15500,15500,4.267,Colorants,Inorganic Pigments,2024-09-01,20,0,True,False
Matapel Chemicals Sample,100087,2024-11-08,2024-11-24,2024-11-26,Supplier 009,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,3471.78,USD,4.6005,15500,15500,4.6005,Colorants,Inorganic Pigments,2024-11-01,18,2,True,True
Matapel Chemicals Sample,100088,2025-01-12,2025-02-15,2025-02-15,Supplier 007,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,2905.28,USD,4.1901,15500,15500,4.1901,Colorants,Inorganic Pigments,2025-01-01,34,0,True,False
Matapel Chemicals Sample,100089,2025-03-12,2025-04-07,2025-04-12,Supplier 004,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,1843.99,USD,4.5991,15500,15500,4.5991,Colorants,Inorganic Pigments,2025-03-01,31,5,True,True
Matapel Chemicals Sample,100090,2025-07-03,2025-08-02,2025-08-07,Supplier 003,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,3080.9,USD,4.0741,15500,15500,4.0741,Colorants,Inorganic Pigments,2025-07-01,35,5,True,True
Matapel Chemicals Sample,100091,2025-09-02,2025-09-20,2025-09-27,Supplier 013,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,1055.4,USD,4.5319,15500,15500,4.5319,Colorants,Inorganic Pigments,2025-09-01,25,7,True,True
Matapel Chemicals Sample,100092,2025-11-06,2025-12-10,2025-12-10,Supplier 009,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-03,Inorganic Pigments Grade 3,3763.2,USD,4.7013,15500,15500,4.7013,Colorants,Inorganic Pigments,2025-11-01,34,0,True,False
Matapel Chemicals Sample,100093,2023-03-12,2023-04-07,2023-04-07,Supplier 005,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-04,Inorganic Pigments Grade 4,2539.03,USD,4.8461,15500,15500,4.8461,Colorants,Inorganic Pigments,2023-03-01,26,0,True,False
Matapel Chemicals Sample,100094,2023-05-06,2023-06-07,2023-06-15,Supplier 011,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-04,Inorganic Pigments Grade 4,2391.91,USD,4.8244,15500,15500,4.8244,Colorants,Inorganic Pigments,2023-05-01,40,8,True,True
Matapel Chemicals Sample,100095,2023-09-04,2023-10-01,2023-09-27,Supplier 013,Pigments,Colorants,PIG-002,Inorganic Pigments,PIG-002-04,Inorganic Pigments Grade 4,1152.11,USD,4.8515,15500,15500,4.8515,Colorants,Inorganic Pigments,2023-09-01,23,-4,True,False
