company,inv_date,cust_name,item_group,item_category,parent_code,parent_name,item_code,item_name,quantity,price_usd,total_usd,price_idr,total_idr,moving_avg_cost,product_family,product_line,month,cogs_idr,gross_profit_idr,gross_margin_pct
Matapel Chemicals Sample,2025-04-04,Customer 017,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,509.93,6.6673,3399.88,103342.71,52698064.58,74092.28,Colorants,Organic Pigments,2025-04-01,37781876.3404,14916188.239599995,0.28305002011897407
Matapel Chemicals Sample,2025-05-06,Customer 029,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,876.47,6.9212,6066.22,107278.35,94026354.87,76913.96,Colorants,Organic Pigments,2025-05-01,67412778.5212,26613576.348800004,0.28304379538689656
Matapel Chemicals Sample,2025-06-05,Customer 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,717.2,7.483,5366.78,115986.1,83185036.29,83157.04,Colorants,Organic Pigments,2025-06-01,59640229.088,23544807.202000007,0.28304137681587355
Matapel Chemicals Sample,2025-07-03,Customer 023,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,493.09,7.4427,3669.92,115361.88,56883738.71,82709.51,Colorants,Organic Pigments,2025-07-01,40783232.2859,16100506.424100004,0.28304233844723675
Matapel Chemicals Sample,2025-08-01,Customer 024,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,776.36,6.9201,5372.47,107261.33,83273239.05,76901.76,Colorants,Organic Pigments,2025-08-01,59703450.393599994,23569788.656400003,0.2830415740433481
Matapel Chemicals Sample,2025-09-10,Customer 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,802.25,7.3112,5865.4,113323.37,90913629.82,81247.98,Colorants,Organic Pigments,2025-09-01,65181191.955,25732437.864999995,0.2830426847541747
Matapel Chemicals Sample,2025-10-24,Customer 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,1023.64,7.3877,7562.38,114509.76,117216837.76,82098.57,Colorants,Organic Pigments,2025-10-01,84039380.1948,33177457.5652,0.2830434449454303
Matapel Chemicals Sample,2025-11-26,Customer 024,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,524.05,6.915,3623.78,107182.46,56168528.36,76845.22,Colorants,Organic Pigments,2025-11-01,40270737.54099999,15897790.819000006,0.283037339292683
Matapel Chemicals Sample,2025-12-05,Customer 007,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,694.98,6.646,4618.78,103012.41,71591086.11,73855.47,Colorants,Organic Pigments,2025-12-01,51328074.5406,20263011.569399998,0.28303819190933627
Matapel Chemicals Sample,2023-01-11,Customer 006,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,799.6,3.9759,3179.13,61626.27,49276497.94,53116.72,Colorants,Organic Pigments,2023-01-01,42472129.312,6804368.627999999,0.13808547507343413
Matapel Chemicals Sample,2023-02-12,Customer 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,677.22,3.7491,2538.93,58110.47,39353474.06,50086.39,Colorants,Organic Pigments,2023-02-01,33919505.0358,5433969.0242,0.13808105012317684
Matapel Chemicals Sample,2023-03-14,Customer 020,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,930.19,3.9293,3654.96,60903.41,56651844.52,52493.68,Colorants,Organic Pigments,2023-03-01,48829096.199200004,7822748.320799999,0.13808461819876502
Matapel Chemicals Sample,2023-04-16,Customer 017,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,836.91,3.6955,3092.83,57280.86,47938916.78,49371.34,Colorants,Organic Pigments,2023-04-01,41319368.15939999,6619548.6206000075,0.1380829827878311
Matapel Chemicals Sample,2023-07-05,Customer 028,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1650.86,3.9834,6576.06,61742.87,101928860.18,53217.22,Colorants,Organic Pigments,2023-07-01,87854179.8092,14074680.370800003,0.1380833685959501
Matapel Chemicals Sample,2023-08-18,Customer 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,863.57,3.692,3188.28,57226.0,49418415.6,49324.06,Colorants,Organic Pigments,2023-08-01,42594778.4942,6823637.105800003,0.13807883200933707
Matapel Chemicals Sample,2023-09-20,Customer 019,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,469.29,3.9505,1853.93,61232.96,28735848.13,52777.72,Colorants,Organic Pigments,2023-09-01,24768056.2188,3967791.911199998,0.13807812086317559
Matapel Chemicals Sample,2023-10-25,Customer 013,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,879.08,3.8716,3403.46,60009.74,52753640.57,51723.4,Colorants,Organic Pigments,2023-10-01,45469006.472,7284634.097999997,0.1380877986673517
Matapel Chemicals Sample,2023-11-07,Customer 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,641.59,3.8079,2443.13,59022.75,37868488.34,50872.7,Colorants,Organic Pigments,2023-11-01,32639415.593,5229072.747000005,0.1380850669308762
Matapel Chemicals Sample,2023-12-13,Customer 018,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1749.04,3.7166,6500.39,57606.61,100756095.17,49652.11,Colorants,Organic Pigments,2023-12-01,86843526.4744,13912568.695600003,0.13808165820763618
Matapel Chemicals Sample,2024-01-24,Customer 028,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,763.22,3.7555,2866.3,58210.57,44427581.97,50172.67,Colorants,Organic Pigments,2024-01-01,38292785.1974,6134796.772599995,0.13808531773668337
Matapel Chemicals Sample,2024-02-15,Customer 001,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,979.29,3.7412,3663.75,57988.86,56788103.1,49981.57,Colorants,Organic Pigments,2024-02-01,48946451.6853,7841651.4147000015,0.13808616570430932
Matapel Chemicals Sample,2024-03-14,Customer 021,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,872.53,3.9809,3473.48,61704.6,53838948.83,53184.23,Colorants,Organic Pigments,2024-03-01,46404836.2019,7434112.6281,0.13808056787240958
Matapel Chemicals Sample,2024-04-21,Customer 026,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1026.65,4.124,4233.93,63922.08,65625893.22,55095.52,Colorants,Organic Pigments,2024-04-01,56563815.608,9062077.611999996,0.13808692220951377
Matapel Chemicals Sample,2024-05-17,Customer 018,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1725.99,3.8087,6573.78,59034.85,101893617.76,50883.13,Colorants,Organic Pigments,2024-05-01,87823773.54869999,14069844.211300015,0.13808366530316055
Matapel Chemicals Sample,2024-07-03,Customer 026,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1079.34,3.7343,4030.53,57880.91,62473242.46,49888.53,Colorants,Organic Pigments,2024-07-01,53846685.970199995,8626556.489800006,0.1380840204560115
Matapel Chemicals Sample,2024-08-21,Customer 028,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,571.29,4.1082,2346.96,63676.55,36377839.47,54883.89,Colorants,Organic Pigments,2024-08-01,31354617.518099997,5023221.951900002,0.1380846698178033
Matapel Chemicals Sample,2024-09-17,Customer 024,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1079.99,4.0068,4327.32,62105.65,67073444.12,53529.91,Colorants,Organic Pigments,2024-09-01,57811767.50090001,9261676.61909999,0.13808261586403817
Matapel Chemicals Sample,2024-10-22,Customer 014,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1051.83,4.1152,4328.53,63785.9,67092183.93,54978.14,Colorants,Organic Pigments,2024-10-01,57827656.996199995,9264526.933800004,0.1380865309656049
Matapel Chemicals Sample,2024-11-12,Customer 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1088.16,3.7535,4084.38,58178.52,63307823.27,50145.04,Colorants,Organic Pigments,2024-11-01,54565826.7264,8741996.5436,0.1380871445589982
Matapel Chemicals Sample,2024-12-20,Customer 010,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,624.67,3.8677,2416.01,59948.87,37448080.91,51670.94,Colorants,Organic Pigments,2024-12-01,32277286.0898,5170794.820199996,0.13807903354586074
Matapel Chemicals Sample,2025-01-18,Customer 028,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,928.47,4.1612,3863.59,64499.01,59885618.47,55592.78,Colorants,Organic Pigments,2025-01-01,51616228.4466,8269390.023400001,0.13808640930280439
Matapel Chemicals Sample,2025-02-13,Customer 020,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1124.41,4.1107,4622.09,63715.5,71642345.89,54917.46,Colorants,Organic Pigments,2025-02-01,61749741.1986,9892604.691399999,0.13808320440245148
Matapel Chemicals Sample,2025-03-05,Customer 023,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1030.05,3.8282,3943.26,59337.7,61120574.21,51144.16,Colorants,Organic Pigments,2025-03-01,52681042.008,8439532.202,0.13808005423841713
Matapel Chemicals Sample,2025-04-17,Customer 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,964.9,3.9927,3852.51,61886.11,59713845.39,53340.68,Colorants,Organic Pigments,2025-04-01,51468422.132,8245423.258000001,0.13808226893022743
Matapel Chemicals Sample,2025-06-05,Customer 025,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,996.23,4.1663,4150.58,64577.3,64333931.74,55660.26,Colorants,Organic Pigments,2025-06-01,55450420.819800004,8883510.920199998,0.1380843775583612
Matapel Chemicals Sample,2025-07-03,Customer 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,836.15,4.1598,3478.23,64476.9,53912549.63,55573.72,Colorants,Organic Pigments,2025-07-01,46467965.978,7444583.652000003,0.13808628423422611
Matapel Chemicals Sample,2025-09-01,Customer 018,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,847.96,3.9677,3364.49,61499.98,52149581.86,53007.87,Colorants,Organic Pigments,2025-09-01,44948553.4452,7201028.414799996,0.13808410648683186
Matapel Chemicals Sample,2025-10-14,Customer 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1031.44,4.0858,4214.27,63330.25,65321123.28,54585.41,Colorants,Organic Pigments,2025-10-01,56301575.290400006,9019547.989599995,0.13808011155805702
Matapel Chemicals Sample,2025-11-19,Customer 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,1162.87,3.742,4351.48,58001.46,67447901.86,49992.44,Colorants,Organic Pigments,2025-11-01,58134708.7028,9313193.157200001,0.13807980530708241
Matapel Chemicals Sample,2025-12-19,Customer 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-02,Organic Pigments Grade 2,868.57,4.0213,3492.79,62330.23,54138276.86,53723.48,Colorants,Organic Pigments,2025-12-01,46662603.023600005,7475673.836399995,0.13808481300082506
Matapel Chemicals Sample,2023-01-25,Customer 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1073.91,6.3686,6839.31,98713.07,106009296.75,81629.85,Colorants,Organic Pigments,2023-01-01,87663112.21350001,18346184.536499992,0.17306203417013039
Matapel Chemicals Sample,2023-02-05,Customer 017,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1080.19,6.8566,7406.46,106277.55,114800064.9,87885.23,Colorants,Organic Pigments,2023-02-01,94932746.5937,19867318.3063,0.17306016615588166
Matapel Chemicals Sample,2023-03-17,Customer 030,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1350.42,6.5552,8852.26,101605.55,137210072.8,84021.77,Colorants,Organic Pigments,2023-03-01,113464678.64340001,23745394.1566,0.17305868054754064
Matapel Chemicals Sample,2023-04-23,Customer 020,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1269.5,6.9597,8835.38,107875.51,136948383.96,89206.65,Colorants,Organic Pigments,2023-04-01,113247842.175,23700541.78500001,0.1730618580495443
Matapel Chemicals Sample,2023-05-03,Customer 014,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,987.45,6.2446,6166.26,96791.66,95576965.32,80040.96,Colorants,Organic Pigments,2023-05-01,79036445.952,16540519.367999986,0.1730596834982246
Matapel Chemicals Sample,2023-06-01,Customer 010,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,668.67,6.6115,4420.87,102477.66,68523421.02,84742.95,Colorants,Organic Pigments,2023-06-01,56665068.376499996,11858352.6435,0.1730554672691968
Matapel Chemicals Sample,2023-07-02,Customer 027,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,721.22,7.0847,5109.59,109812.68,79198714.45,90808.58,Colorants,Organic Pigments,2023-07-01,65492964.067600004,13705750.382399999,0.17305521279708092
Matapel Chemicals Sample,2023-08-01,Customer 020,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1310.71,7.0865,9288.32,109840.06,143968998.99,90831.21,Colorants,Organic Pigments,2023-08-01,119053375.2591,24915623.730900005,0.17306242250549111
Matapel Chemicals Sample,2023-10-12,Customer 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1262.8,6.4396,8131.89,99813.43,126044320.28,82539.79,Colorants,Organic Pigments,2023-10-01,104231246.81199999,21813073.46800001,0.17305875758259917
Matapel Chemicals Sample,2023-11-24,Customer 002,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1005.28,6.794,6829.85,105306.77,105862728.01,87082.45,Colorants,Organic Pigments,2023-11-01,87542245.336,18320482.67400001,0.17305885667587764
Matapel Chemicals Sample,2024-01-08,Customer 026,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,753.63,6.4376,4851.62,99783.34,75200161.24,82514.91,Colorants,Organic Pigments,2024-01-01,62185711.6233,13014449.616699994,0.17306411850853093
Matapel Chemicals Sample,2024-02-22,Customer 021,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1035.62,6.8928,7138.36,106838.5,110644559.41,88349.11,Colorants,Organic Pigments,2024-02-01,91496105.2982,19148454.1118,0.17306277158051905
Matapel Chemicals Sample,2024-04-03,Customer 026,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1492.36,6.7716,10105.67,104959.57,156637854.88,86795.34,Colorants,Organic Pigments,2024-04-01,129529893.60239999,27107961.277600005,0.1730613669241536
Matapel Chemicals Sample,2024-05-03,Customer 022,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,867.46,6.4651,5608.24,100209.2,86927742.75,82867.07,Colorants,Organic Pigments,2024-05-01,71883868.54220001,15043874.207799986,0.17306182965161587
Matapel Chemicals Sample,2024-06-01,Customer 002,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1224.54,6.7599,8277.78,104778.38,128305634.11,86645.51,Colorants,Organic Pigments,2024-06-01,106100892.81539999,22204741.29460001,0.17306131136504313
Matapel Chemicals Sample,2024-07-21,Customer 006,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1373.81,6.3124,8672.0,97841.8,134416072.75,80909.37,Colorants,Organic Pigments,2024-07-01,111154101.59969999,23261971.15030001,0.1730594464961409
Matapel Chemicals Sample,2024-08-23,Customer 018,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1234.32,6.777,8365.02,105044.15,129657800.1,86865.29,Colorants,Organic Pigments,2024-08-01,107219564.75279999,22438235.347200006,0.17305735042468923
Matapel Chemicals Sample,2024-09-14,Customer 021,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1019.48,6.7272,6858.3,104272.05,106303649.69,86226.8,Colorants,Organic Pigments,2024-09-01,87906498.06400001,18397151.625999987,0.1730622765977395
Matapel Chemicals Sample,2024-10-18,Customer 013,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1221.91,6.6678,8147.44,103350.88,126285338.75,85465.05,Colorants,Organic Pigments,2024-10-01,104430599.24550001,21854739.504499987,0.17305840662758634
Matapel Chemicals Sample,2025-01-21,Customer 019,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1415.05,6.5992,9338.16,102287.11,144741462.94,84585.37,Colorants,Organic Pigments,2025-01-01,119692527.81849998,25048935.121500015,0.17305984486203244
Matapel Chemicals Sample,2025-02-25,Customer 018,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,882.73,6.4198,5666.93,99506.66,87837415.78,82286.11,Colorants,Organic Pigments,2025-02-01,72636417.8803,15200997.8997,0.17305834608992637
Matapel Chemicals Sample,2025-04-03,Customer 018,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1655.06,6.4266,10636.38,99611.97,164863839.75,82373.2,Colorants,Organic Pigments,2025-04-01,136332588.392,28531251.35800001,0.17305948594467338
Matapel Chemicals Sample,2025-05-17,Customer 010,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1035.77,6.7907,7033.61,105256.05,109020992.79,87040.51,Colorants,Organic Pigments,2025-05-01,90153949.0427,18867043.747300014,0.17305881431150022
Matapel Chemicals Sample,2025-06-14,Customer 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,796.71,6.7682,5392.29,104906.69,83580447.47,86751.61,Colorants,Organic Pigments,2025-06-01,69115875.20310001,14464572.266899988,0.17306167536482547
Matapel Chemicals Sample,2025-07-23,Customer 016,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1140.55,7.0199,8006.52,108808.04,124101086.41,89977.8,Colorants,Organic Pigments,2025-07-01,102624179.79,21476906.61999999,0.17305977925967128
Matapel Chemicals Sample,2025-08-10,Customer 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1234.99,6.9485,8581.31,107701.61,133010333.72,89062.85,Colorants,Organic Pigments,2025-08-01,109991729.12150002,23018604.598499984,0.1730587688544293
Matapel Chemicals Sample,2025-10-15,Customer 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1217.21,6.4735,7879.64,100339.48,122134494.39,82974.8,Colorants,Organic Pigments,2025-10-01,100997756.30800001,21136738.081999987,0.17306116660626714
Matapel Chemicals Sample,2025-11-12,Customer 025,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,604.52,6.2467,3776.2,96823.13,58531176.63,80066.99,Colorants,Organic Pigments,2025-11-01,48402096.7948,10129079.835200004,0.17305443728271766
Matapel Chemicals Sample,2025-12-18,Customer 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-03,Organic Pigments Grade 3,1364.58,6.7467,9206.41,104573.84,142699373.85,86476.37,Colorants,Organic Pigments,2025-12-01,118003924.97459999,24695448.875400007,0.17305926584764764
Matapel Chemicals Sample,2023-01-04,Customer 022,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,1161.24,6.9642,8087.15,107945.3,125350759.88,74521.96,Colorants,Organic Pigments,2023-01-01,86537880.8304,38812879.04959999,0.3096341744298646
Matapel Chemicals Sample,2023-02-20,Customer 016,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-04,Organic Pigments Grade 4,1321.05,6.5473,8649.37,101483.63,134065308.32,70061.03,Colorants,Organic Pigments,2023-02-01,92554123.68149999,41511184.638500005,0.309634051930997
